,title,rating,categories,description,keyword
0,The Batman,,"['Action', 'Crime', 'Drama']","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",action hero
1,Sin tiempo para morir,7.6,"['Action', 'Adventure', 'Thriller']","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",action hero
2,Venom: Carnage liberado,6.3,"['Action', 'Adventure', 'Sci-Fi']","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",action hero
3,Uncharted,,"['Action', 'Adventure']","The story is a prequel to the games, starring Holland as a younger Drake, showing us details of how he came to meet and befriend Sully.",action hero
4,Shang-chi y la leyenda de los diez anillos,7.9,"['Action', 'Adventure', 'Fantasy']","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",action hero
5,Venom,6.7,"['Action', 'Adventure', 'Sci-Fi']","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",action hero
6,El Escuadrón Suicida,7.3,"['Action', 'Adventure', 'Comedy']","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",action hero
7,Casino Royale,8.0,"['Action', 'Adventure', 'Thriller']","After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",action hero
8,Spectre,6.8,"['Action', 'Adventure', 'Thriller']","A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.",action hero
9,The Mandalorian,8.8,"['Action', 'Adventure', 'Sci-Fi']","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",action hero
10,The Witcher,8.2,"['Action', 'Adventure', 'Fantasy']","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",action hero
11,Skyfall,7.8,"['Action', 'Adventure', 'Thriller']","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",action hero
12,Había una vez en Hollywood,7.6,"['Comedy', 'Drama']",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,action hero
13,The Expanse,8.5,"['Drama', 'Mystery', 'Sci-Fi']","In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",action hero
14,Legends of Tomorrow,6.8,"['Action', 'Adventure', 'Drama']","Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",action hero
15,Cowboy Bebop,,"['Action', 'Adventure', 'Crime']",A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world - for the right price.,action hero
16,Avengers: Endgame,8.4,"['Action', 'Adventure', 'Drama']","After the devastating events of <a href=""/title/tt4154756"">Avengers: Infinity War</a> (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",action hero
17,Rápidos y furiosos 9,5.2,"['Action', 'Adventure', 'Crime']",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,action hero
18,Quantum of Solace,6.6,"['Action', 'Adventure', 'Thriller']",James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.,action hero
19,G.I. Joe: Snake Eyes,5.4,"['Action', 'Adventure', 'Fantasy']",A G.I. Joe spin-off centered around the character of Snake Eyes.,action hero
20,The Crow,7.6,"['Action', 'Fantasy', 'Thriller']",A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.,action hero
21,The Dark Knight,9.0,"['Action', 'Crime', 'Drama']","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",action hero
22,Tenet,7.4,"['Action', 'Sci-Fi', 'Thriller']","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",action hero
23,Infinite,5.5,"['Action', 'Sci-Fi', 'Thriller']",A man discovers that his hallucinations are actually visions from past lives.,action hero
24,La Liga de la Justicia de Zack Snyder,8.1,"['Action', 'Adventure', 'Fantasy']","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",action hero
25,Nadie,7.4,"['Action', 'Crime', 'Drama']","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him going to a bloody war with a Russian crime boss.",action hero
26,The Matrix,8.7,"['Action', 'Sci-Fi']","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",action hero
27,Smallville,7.5,"['Adventure', 'Drama', 'Romance']","A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.",action hero
28,El origen,8.8,"['Action', 'Adventure', 'Sci-Fi']","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",action hero
29,Gotham,7.8,"['Action', 'Crime', 'Drama']",The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,action hero
30,Thor: Ragnarok,7.9,"['Action', 'Adventure', 'Comedy']","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",action hero
31,Hawaii Five-0,7.3,"['Action', 'Crime', 'Drama']",Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.,action hero
32,Watchmen,7.6,"['Action', 'Drama', 'Mystery']","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",action hero
33,Hawkeye,,"['Action', 'Adventure', 'Crime']","Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate M. Bishop, who took on the role after the original Avenger, Clint Barton.",action hero
34,GoldenEye,7.2,"['Action', 'Adventure', 'Thriller']","Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",action hero
35,Avengers: Infinity War,8.4,"['Action', 'Adventure', 'Sci-Fi']",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,action hero
36,Mad Max: Furia en el Camino,8.1,"['Action', 'Adventure', 'Sci-Fi']","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",action hero
37,Suicide Squad,5.9,"['Action', 'Adventure', 'Fantasy']",A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,action hero
38,Mortal Kombat,6.1,"['Action', 'Adventure', 'Fantasy']",MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,action hero
39,Kaubôi bibappu,8.9,"['Animation', 'Action', 'Adventure']",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,action hero
40,Batman: El caballero de la noche asciende,8.4,"['Action', 'Crime']","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",action hero
41,24,8.3,"['Action', 'Crime', 'Drama']",Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.,action hero
42,Batoru rowaiaru,7.6,"['Action', 'Adventure', 'Drama']","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",action hero
43,Spider-Man,7.3,"['Action', 'Adventure', 'Sci-Fi']","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",action hero
44,Duro de cuidar 2,6.1,"['Action', 'Comedy', 'Crime']",The bodyguard Michael Bryce continues his friendship with assassin Darius Kincaid as they try to save Darius' wife Sonia.,action hero
45,Guardianes de la Galaxia,8.0,"['Action', 'Adventure', 'Comedy']",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,action hero
46,John Wick,7.4,"['Action', 'Crime', 'Thriller']",An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,action hero
47,Blade Runner,8.1,"['Action', 'Sci-Fi', 'Thriller']","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",action hero
48,Spider-Man: de regreso a casa,7.4,"['Action', 'Adventure', 'Sci-Fi']","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",action hero
49,Deadpool,8.0,"['Action', 'Adventure', 'Comedy']","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",action hero
0,Había una vez en Hollywood,7.6,"['Comedy', 'Drama']",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,alternate history
1,The Expanse,8.5,"['Drama', 'Mystery', 'Sci-Fi']","In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",alternate history
2,Bridgerton,7.3,"['Drama', 'Romance']","Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",alternate history
3,Gladiator,8.5,"['Action', 'Adventure', 'Drama']",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,alternate history
4,The Umbrella Academy,8.0,"['Action', 'Adventure', 'Comedy']","A family of former child heroes, now grown apart, must reunite to continue to protect the world.",alternate history
5,Bastardos Sin Gloria,8.3,"['Adventure', 'Drama', 'War']","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",alternate history
6,Watchmen,7.6,"['Action', 'Drama', 'Mystery']","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",alternate history
7,Back to the Future,8.5,"['Adventure', 'Comedy', 'Sci-Fi']","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",alternate history
8,Forrest Gump,8.8,"['Drama', 'Romance']","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",alternate history
9,Stargate SG-1,8.4,"['Action', 'Adventure', 'Drama']","A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates.",alternate history
10,Motherland: Fort Salem,7.3,"['Drama', 'Fantasy', 'Sci-Fi']",A trio of witches is trained to become powerful weapons for the American military.,alternate history
11,Donnie Darko,8.0,"['Drama', 'Mystery', 'Sci-Fi']","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",alternate history
12,Watchmen,8.2,"['Action', 'Drama', 'Mystery']","Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own.",alternate history
